[2024-02-03 17:04:30,476: INFO: main:  This is a cutsom log ]
[2024-02-03 17:11:37,439: INFO: main:  This is a cutsom log ]
[2024-02-03 17:14:33,754: INFO: main:  This is a cutsom log ]
[2024-02-03 19:40:22,973: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-03 19:40:22,974: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-03 19:40:22,975: INFO: common: created directory at: artifacts]
[2024-02-03 19:40:22,977: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-03 19:40:22,978: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1EY9f9sCHS7qD-jU0XUbu5J3H9qkLyShl/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-03 19:40:41,939: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1EY9f9sCHS7qD-jU0XUbu5J3H9qkLyShl/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-04 16:50:32,123: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-02-04 16:50:32,124: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-02-04 16:50:32,124: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-04 16:50:32,124: INFO: common: created directory at: artifacts]
[2024-02-04 16:50:32,124: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-04 16:50:32,125: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1EY9f9sCHS7qD-jU0XUbu5J3H9qkLyShl/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-04 16:50:42,974: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1EY9f9sCHS7qD-jU0XUbu5J3H9qkLyShl/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-02-04 16:50:43,830: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
